MMSI,MessageType,Time,Channel,SpeedOverGround,Longitude,Latitude
253198000,1,2014-10-04T16:56:15,A,18.6,-43.00787735,0.847268343
215120000,1,2014-10-04T16:56:16,A,11,-21.69283295,14.46269989
636092273,1,2014-10-04T16:56:17,A,16.9,-26.74979401,6.742133141
209263000,1,2014-10-04T16:56:17,A,11.3,-3.795593262,0.815908313
370963000,1,2014-10-04T16:56:17,A,13.7,-28.44491577,9.526350021
538090269,1,2014-10-04T16:56:18,A,12.6,-18.00063324,13.82114983
351829000,1,2014-10-04T16:56:18,A,13.2,-24.74175644,7.337571621
371322000,1,2014-10-04T16:56:18,A,0,-13.47500038,8.512833595
636091335,1,2014-10-04T16:56:20,A,13.1,-15.76566792,8.631103516
477110700,1,2014-10-04T16:56:24,A,13.2,-20.75859261,17.44680977
538004334,1,2014-10-04T16:56:25,A,11.1,-13.97346878,8.181416512
566628000,1,2014-10-04T16:56:25,A,7.9,-16.37139893,10.26124477
431700260,1,2014-10-04T16:56:26,A,10.3,-21.25449944,17.42616653
209263000,1,2014-10-04T16:56:27,A,11.3,-3.796050072,0.815784991
215120000,1,2014-10-04T16:56:28,A,11.1,-21.69308281,14.46211624
212758000,1,2014-10-04T16:56:29,A,12.7,-19.08819771,7.07398653
271002596,1,2014-10-04T16:56:29,A,8.7,-17.38857079,12.83689976
256936000,1,2014-10-04T16:56:30,A,13.3,-33.54346848,23.42491913
577153000,1,2014-10-04T16:56:32,A,6.6,-17.27816772,15.43344498
370847000,1,2014-10-04T16:56:33,A,12.9,-23.78124046,5.79637146
304513000,1,2014-10-04T16:56:34,A,10.3,-18.09499931,12.97126675
215120000,1,2014-10-04T16:56:36,A,11,-21.69325066,14.46175003
371322000,1,2014-10-04T16:56:38,A,0,-13.47500038,8.512833595
477158400,1,2014-10-04T16:56:39,A,11.4,-17.27153397,10.38774967
538003468,1,2014-10-04T16:56:39,A,9.4,-10.93021679,-1.120866656
477768200,1,2014-10-04T16:56:39,A,11.8,-27.15408707,12.0141716
636015875,1,2014-10-04T16:56:41,A,10.7,-19.46985626,19.89409256
538004062,1,2014-10-04T16:56:42,A,12.5,-13.90607643,6.030014992
636013296,1,2014-10-04T16:56:42,A,0.7,-22.29178429,11.20828342
352680000,1,2014-10-04T16:56:43,A,11.9,-28.46385956,8.497628212
477902400,3,2014-10-04T16:56:43,A,14.8,-19.55750084,7.842999935
373603000,1,2014-10-04T16:56:45,A,13.4,-32.46997833,-8.444836617
355817000,1,2014-10-04T16:56:45,A,15.4,-29.54072952,-4.840079784
663037000,1,2014-10-04T16:56:45,A,2.3,-17.32671738,15.3564167
538090269,1,2014-10-04T16:56:46,A,12.7,-18.00063324,13.81948376
304010302,1,2014-10-04T16:56:48,A,8.7,-13.96656799,5.280196667
352105000,1,2014-10-04T16:56:48,A,10,-15.89815044,8.008749962
370963000,1,2014-10-04T16:56:48,A,13.6,-28.44431686,9.528283119
371245000,1,2014-10-04T16:56:48,A,20,-17.72682953,14.90370369
538005069,1,2014-10-04T16:56:49,A,6.7,-17.86502266,15.91121006
373206000,3,2014-10-04T16:56:49,A,14,-10.61189175,5.388178349
636015418,1,2014-10-04T16:56:50,A,12.6,-10.337533,5.094283104
373365000,1,2014-10-04T16:56:51,A,11.9,-21.52609062,26.03307915
253382000,1,2014-10-04T16:56:51,A,10.5,-27.44681549,13.25912952
304513000,1,2014-10-04T16:56:54,A,10.3,-18.09471703,12.97035027
564979000,1,2014-10-04T16:56:55,A,12.9,-29.33738327,8.321450233
224019630,1,2014-10-04T16:56:56,A,6,-18.22723389,14.9128933
538004334,1,2014-10-04T16:56:56,A,11.1,-13.9726429,8.182789803
636092548,1,2014-10-04T16:56:56,A,16,-28.9667263,-0.988116682
566413000,1,2014-10-04T16:56:56,A,12.1,-14.44668198,8.000789642
224270000,1,2014-10-04T16:56:58,A,0,-17.42980576,14.68207169
477746200,3,2014-10-04T16:57:00,A,12.5,-14.20516682,2.940500021
477802900,3,2014-10-04T16:57:01,A,0,-13.38471794,8.465321541
373206000,3,2014-10-04T16:57:02,A,14,-10.61250019,5.388500214
636092547,1,2014-10-04T16:57:05,A,17.1,-31.47932053,-0.561693311
373206000,3,2014-10-04T16:57:05,A,14,-10.61278629,5.388706684
566413000,1,2014-10-04T16:57:06,A,12,-14.44620132,8.000470161
311665000,1,2014-10-04T16:57:07,A,15.4,-28.71936607,-1.048226714
229720000,1,2014-10-04T16:57:08,A,10.3,-17.99978256,16.55766678
354680000,1,2014-10-04T16:57:09,A,13,-36.41473389,6.548299789
247293300,1,2014-10-04T16:57:13,A,17.1,-21.57605743,9.356746674
311449000,1,2014-10-04T16:57:14,A,14.4,-17.03255653,10.65384197
351202000,1,2014-10-04T16:57:14,A,12.5,-14.18321705,5.437583447
564979000,1,2014-10-04T16:57:15,A,13,-29.33819962,8.322349548
311989000,1,2014-10-04T16:57:15,A,5.7,-6.407839775,2.340121746
209366000,3,2014-10-04T16:57:16,A,12.4,-9.565766335,4.86251688
311040500,1,2014-10-04T16:57:17,A,11.2,-11.95271873,6.266663551
308367000,1,2014-10-04T16:57:17,A,0.1,-2.865933418,4.515799999
636015418,1,2014-10-04T16:57:19,A,12.6,-10.33615017,5.093383312
538004843,1,2014-10-04T16:57:20,A,12.1,-7.096933365,-2.836383343
210117000,1,2014-10-04T16:57:21,A,13.2,-17.31295013,10.967453
373206000,1,2014-10-04T16:57:21,A,14,-10.61367798,5.389241695
239464000,1,2014-10-04T16:57:22,A,10.5,-18.62996674,20.79253387
246870000,1,2014-10-04T16:57:23,A,9.9,-18.55417252,13.82408142
636092547,1,2014-10-04T16:57:23,A,17,-31.47974014,-0.563056648
304043000,1,2014-10-04T16:57:24,A,13,-31.12218094,1.883331656
257662000,1,2014-10-04T16:57:24,A,0.3,-17.72590637,13.87527657
370963000,1,2014-10-04T16:57:26,A,13.6,-28.44361687,9.530400276
271040635,1,2014-10-04T16:57:27,A,11.4,-14.21082973,6.63539505
370890000,1,2014-10-04T16:57:28,A,9,-20.01797676,19.49730492
273454860,1,2014-10-04T16:57:28,A,11.6,-28.50907707,-0.953849971
341959000,1,2014-10-04T16:57:28,A,13.3,-17.6682415,14.20129299
710013210,1,2014-10-04T16:57:28,A,1.9,-34.86646652,-8.051153183
548765000,1,2014-10-04T16:57:30,A,13.6,-19.79583359,18.73816681
305026000,1,2014-10-04T16:57:31,A,11.9,-23.2022171,4.790293217
210117000,1,2014-10-04T16:57:31,A,13.1,-17.31328773,10.96790028
235088041,1,2014-10-04T16:57:33,A,12.6,-29.46516609,4.773833275
229767000,1,2014-10-04T16:57:34,A,14.1,-38.85597229,-2.807874918
308606000,1,2014-10-04T16:57:34,A,6.6,0.023133334,0.399648339
304513000,1,2014-10-04T16:57:34,A,10.4,-18.09418297,12.96848297
311449000,1,2014-10-04T16:57:37,A,14.4,-17.0318737,10.65244675
225459000,1,2014-10-04T16:57:37,A,0,-4.020740032,5.301026821
352801000,1,2014-10-04T16:57:37,A,16.4,-17.50094032,12.95615292
636092324,1,2014-10-04T16:57:37,A,12.6,-13.05472374,6.219240189
357993000,1,2014-10-04T16:57:37,A,20.1,-10.36209965,5.369599819
372147000,1,2014-10-04T16:57:39,A,12.2,-29.3279171,-2.42779994
256799000,3,2014-10-04T16:57:40,A,0.1,-17.34888077,14.66798019
308068000,1,2014-10-04T16:57:40,A,13.8,-16.75349998,10.48715305
271000985,1,2014-10-04T16:57:42,A,11.2,-18.04903412,16.25769997
538004697,1,2014-10-04T16:57:44,A,18.9,-17.81968117,14.96237183
304043000,1,2014-10-04T16:57:45,A,13,-31.12260056,1.882191658
354331000,3,2014-10-04T16:57:45,A,12.9,-28.58367729,-1.501760006
269689000,1,2014-10-04T16:57:45,A,11.6,-4.978133202,4.116166592
319819000,1,2014-10-04T16:57:47,A,15.1,-33.62718582,7.250463486
311040500,1,2014-10-04T16:57:47,A,11.2,-11.95407677,6.267511845
218713000,1,2014-10-04T16:57:47,A,15,-30.25021362,1.243748307
